City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
217,Shimoni,KE,76.24,scattered clouds,-4.6476,39.3817,Shimoni Reef Lodge
220,Oistins,BB,82.49,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
223,Labuhan,ID,78.3,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
229,Henderson,US,80.04,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
230,Cabo San Lucas,MX,94.17,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
232,Miri,MY,80.74,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
235,Mogadishu,SO,78.17,few clouds,2.0371,45.3438,Hotel Juba
241,Surt,LY,76.01,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
242,Puebloviejo,CO,82.6,overcast clouds,10.9938,-74.2844,The Journey Hostel
244,Majene,ID,79.88,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
246,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
247,Sao Filipe,CV,80.89,clear sky,14.8961,-24.4956,Hotel Xaguate
248,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
257,Gandiaye,SN,84.07,few clouds,14.2333,-16.2667,Mairie de Gandiaye
259,Lexington,US,78.12,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
264,Diffa,NE,87.55,overcast clouds,13.3154,12.6113,ProDAF/Diffa
267,Kalabo,ZM,78.76,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
270,Phuket,TH,84.09,broken clouds,8.0,98.25,The Surin
271,Roebourne,AU,76.06,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
276,Asyut,EG,82.94,scattered clouds,27.181,31.1837,Florence Hotel Assiut
278,Puri,IN,79.32,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
279,Katsuura,JP,80.11,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
283,Catuday,PH,81.75,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
285,Los Altos Hills,US,82.54,clear sky,37.3797,-122.1375,"Crowne Plaza Palo Alto, an IHG Hotel"
287,Pochutla,MX,85.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
289,Alyangula,AU,82.65,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
293,Barber,CW,82.38,few clouds,12.2833,-69.0667,Cats & Pets
302,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
304,Aloleng,PH,82.94,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
311,Atar,MR,85.91,clear sky,20.5169,-13.0499,Oumou Elghoura
313,Camargo,MX,90.93,clear sky,27.6667,-105.1667,Hotel Santa Fe
315,Bani,DO,83.86,clear sky,18.2833,-70.3333,Hospedaje Henriquez
316,Half Moon Bay,US,83.25,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
319,Mandera,KE,81.54,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
328,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,Hotel Fórum
331,Russell,US,80.2,clear sky,32.3502,-85.1999,Macs
334,Numata,JP,75.49,scattered clouds,36.6333,139.05,Hotel Bella-Vita
336,Lethem,GY,83.61,overcast clouds,3.3803,-59.7968,Savannah Inn
338,Bellavista,PE,76.28,scattered clouds,-7.0561,-76.5911,Hospedaje Bella Durmiente
339,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
342,Boke,GN,76.32,overcast clouds,10.9409,-14.2967,Hôtel Rio Nunez - Boké
345,Sarangani,PH,83.3,overcast clouds,5.4033,125.4636,Ballistic Islet
349,Alta Floresta,BR,80.22,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
351,Kumluca,TR,75.04,clear sky,36.3703,30.2869,TurkuazKöy
355,Memari,IN,84.06,few clouds,23.2,88.1167,Kanishka Chandra khan
356,Tomatlan,MX,83.66,overcast clouds,19.9333,-105.25,El Salvial
369,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
372,Mangrol,IN,81.91,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
373,Bucyrus,US,76.23,scattered clouds,40.8084,-82.9755,"Holiday Inn Express & Suites Bucyrus, an IHG Hotel"
379,Namatanai,PG,83.71,light rain,-3.6667,152.4333,Seagulls Inn Namatani
383,Palu,ID,77.38,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
385,Piacabucu,BR,76.15,broken clouds,-10.4056,-36.4344,Piaçabuçu News
390,Partapur,IN,77.95,clear sky,23.6,74.1667,Hotel Deependra And Restaurent
391,Carupano,VE,79.92,overcast clouds,10.6678,-63.2585,Hotel La dorada
392,Taylorville,US,82.62,clear sky,39.5489,-89.2945,Economy Inn
396,Coahuayana,MX,92.68,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
398,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
401,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
404,Laguna,US,83.05,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
408,Kulhudhuffushi,MV,82.83,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
413,Raymondville,US,91.6,few clouds,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
418,Tuntum,BR,80.46,broken clouds,-5.2581,-44.6489,Casa da Dona Maria Lúcia
419,Karachi,PK,78.62,smoke,24.9056,67.0822,Sadaat
422,Port Blair,IN,80.76,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
423,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
424,Kirakira,SB,81.45,light rain,-10.4544,161.9205,SanBiz Lodge
427,Santa Catalina,PH,80.26,light rain,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
430,Haimen,CN,80.49,light rain,23.1935,116.6142,Jinghao Business Hotel
434,Coruripe,BR,76.1,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
435,Oriximina,BR,84.97,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
436,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
439,Sabang,ID,82.24,broken clouds,5.8933,95.3214,Hotel Citra
440,Alenquer,BR,84.54,overcast clouds,-1.9417,-54.7383,Josilene Castro
441,Padang,ID,75.38,light rain,-0.9492,100.3543,Mercure Padang
442,Akyab,MM,80.22,overcast clouds,20.15,92.9,Hotel Memory
447,Bilma,NE,83.48,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
461,Chenghai,CN,80.51,clear sky,23.4632,116.768,Guangdong Hotel
462,Phalodi,IN,84.15,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
464,Sahuaripa,MX,91.26,clear sky,29.05,-109.2333,Estatua de Sahuaripa
471,Conceicao Do Araguaia,BR,86.81,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
472,Kutum,SD,83.77,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
475,Manokwari,ID,81.97,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
477,Neiafu,TO,75.88,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
481,Pauini,BR,89.87,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
484,Tiarei,PF,86.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
485,Independence,US,77.67,overcast clouds,39.0911,-94.4155,Higher Ground Hotel
486,Jacareacanga,BR,81.84,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
487,Hobyo,SO,78.37,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
493,Pinellas Park,US,83.05,clear sky,27.8428,-82.6995,La Quinta Inn by Wyndham Tampa Bay Pinellas Park Clearwater
494,La Palma,US,88.5,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
499,Cotoca,BO,87.66,scattered clouds,-17.8167,-63.05,Sede Parque de los Recuerdos
501,Huixtla,MX,85.68,overcast clouds,15.15,-92.4667,Rocky Point Sonoran Sky
505,Huimilpan,MX,76.1,scattered clouds,20.372,-100.2774,RANCHO EL EDÉN
509,Angoche,MZ,75.06,clear sky,-16.2325,39.9086,Guest House HESADA
511,Garowe,SO,78.01,light rain,8.4054,48.4845,Curubo Hotel
518,Ranong,TH,76.93,moderate rain,9.9658,98.6348,Tinidee Hotel@Ranong
519,Eyl,SO,78.75,broken clouds,7.9803,49.8164,Amiin Hotel
521,Pilar,BR,75.13,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
523,Karratha,AU,75.52,clear sky,-20.7377,116.8463,ibis Styles Karratha
525,Porto Novo,BJ,78.17,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
527,Vanimo,PG,80.38,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
528,Sinnamary,GF,79.9,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
529,Grand-Santi,GF,80.62,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
531,Lorengau,PG,84.43,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
534,Miraflores,MX,76.03,broken clouds,19.2167,-98.8083,Hotel Mansión
537,Benemerito De Las Americas,MX,84.81,scattered clouds,16.5167,-90.6439,"Tres Lagunas, Selva Lacandona"
538,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
539,Chabahar,IR,82.18,clear sky,25.2919,60.643,هتل گدروشیا
